subject,label
Urgent your account has been selected for a prize,spam
Reminder about tomorrow's workshop,ham
Hot crypto tip guaranteed profit,spam
Presentation slides for review,ham
Presentation slides for review,ham
Monthly performance report,ham
Office maintenance notice,ham
Free vacation offer click now,spam
Team lunch this Friday,ham
Secret investment opportunity revealed,spam
Claim your free gift card today,spam
Limited time offer buy now,spam
Reminder about tomorrow's workshop,ham
Reminder submit your report,ham
Winner claim your cash prize,spam
You have been selected for a reward,spam
Budget review meeting,ham
Training session details,ham
Claim your free gift card today,spam
Win a free iPhone now,spam
Travel itinerary for your trip,ham
Earn money from home instantly,spam
Schedule for next week,ham
Project update and next steps,ham
Exclusive deal just for you,spam
Earn money from home instantly,spam
You have been selected for a reward,spam
Unlock your special discount today,spam
Reminder about tomorrow's workshop,ham
Winner claim your cash prize,spam
Get rich quick with this simple trick,spam
Meeting scheduled for tomorrow,ham
Unlock your special discount today,spam
Act now to claim your reward,spam
Updated project timeline,ham
Final notice claim your bonus today,spam
Training session details,ham
You have been selected for a reward,spam
Follow up on our discussion,ham
Monthly performance report,ham
Win a free iPhone now,spam
Get rich quick with this simple trick,spam
Office maintenance notice,ham
Travel itinerary for your trip,ham
Congratulations you are our lucky winner,spam
Presentation slides for review,ham
Cheap meds available now,spam
Monthly performance report,ham
Unlock your special discount today,spam
Meeting scheduled for tomorrow,ham
Hot crypto tip guaranteed profit,spam
Hot crypto tip guaranteed profit,spam
Updated project timeline,ham
Client feedback on the proposal,ham
Urgent your account has been selected for a prize,spam
Team standup summary,ham
Free trial available today,spam
Act now to claim your reward,spam
Follow up on our discussion,ham
Schedule for next week,ham
Training session details,ham
Project update and next steps,ham
Congratulations you have won a lottery,spam
Training session details,ham
Earn money from home instantly,spam
Earn money from home instantly,spam
Updated project timeline,ham
Final notice claim your bonus today,spam
Team standup summary,ham
Congratulations you have won a lottery,spam
Your appointment confirmation,ham
Team lunch this Friday,ham
Free trial available today,spam
Get rich quick with this simple trick,spam
Urgent your account has been selected for a prize,spam
Winner claim your cash prize,spam
Congratulations you are our lucky winner,spam
Exclusive deal just for you,spam
Final notice claim your bonus today,spam
Cheap meds available now,spam
Meeting scheduled for tomorrow,ham
Free vacation offer click now,spam
Get rich quick with this simple trick,spam
Get rich quick with this simple trick,spam
Win a free iPhone now,spam
Follow up on our discussion,ham
Congratulations you have won a lottery,spam
Special promotion just for you,spam
Winner claim your cash prize,spam
Notes from today's meeting,ham
Exclusive deal just for you,spam
Claim your free gift card today,spam
Project update and next steps,ham
Meeting scheduled for tomorrow,ham
Monthly performance report,ham
Special promotion just for you,spam
Claim your free gift card today,spam
Request for information,ham
Earn money from home instantly,spam
Travel itinerary for your trip,ham
Training session details,ham
Act now to claim your reward,spam
Notes from today's meeting,ham
Travel itinerary for your trip,ham
Cheap meds available now,spam
Your appointment confirmation,ham
Schedule for next week,ham
Training session details,ham
You have been selected for a reward,spam
You have been selected for a reward,spam
Free trial available today,spam
Claim your free gift card today,spam
Monthly performance report,ham
Budget review meeting,ham
Special promotion just for you,spam
Your appointment confirmation,ham
Invoice for last month attached,ham
Client feedback on the proposal,ham
Get rich quick with this simple trick,spam
You have been selected for a reward,spam
Team standup summary,ham
Presentation slides for review,ham
Updated project timeline,ham
Client feedback on the proposal,ham
Winner claim your cash prize,spam
Urgent your account has been selected for a prize,spam
Winner claim your cash prize,spam
Office maintenance notice,ham
Get rich quick with this simple trick,spam
Winner claim your cash prize,spam
Your appointment confirmation,ham
Hot crypto tip guaranteed profit,spam
Limited time offer buy now,spam
Claim your free gift card today,spam
Client feedback on the proposal,ham
Project update and next steps,ham
Team lunch this Friday,ham
Your appointment confirmation,ham
Reminder submit your report,ham
Monthly performance report,ham
Follow up on our discussion,ham
Urgent your account has been selected for a prize,spam
Invoice for last month attached,ham
Budget review meeting,ham
Free trial available today,spam
You have been selected for a reward,spam
Hot crypto tip guaranteed profit,spam
Monthly performance report,ham
Your appointment confirmation,ham
Travel itinerary for your trip,ham
Reminder submit your report,ham
Budget review meeting,ham
Office maintenance notice,ham
Congratulations you are our lucky winner,spam
Invoice for last month attached,ham
Team lunch this Friday,ham
Get rich quick with this simple trick,spam
Final notice claim your bonus today,spam
Team lunch this Friday,ham
Final notice claim your bonus today,spam
Unlock your special discount today,spam
Meeting scheduled for tomorrow,ham
Your appointment confirmation,ham
Monthly performance report,ham
Budget review meeting,ham
Your appointment confirmation,ham
Team lunch this Friday,ham
Urgent your account has been selected for a prize,spam
Act now to claim your reward,spam
Reminder submit your report,ham
Updated project timeline,ham
Cheap meds available now,spam
Schedule for next week,ham
Team lunch this Friday,ham
Meeting scheduled for tomorrow,ham
Congratulations you have won a lottery,spam
Exclusive deal just for you,spam
You have been selected for a reward,spam
Reminder about tomorrow's workshop,ham
Your appointment confirmation,ham
Updated project timeline,ham
You have been selected for a reward,spam
Exclusive deal just for you,spam
Office maintenance notice,ham
Cheap meds available now,spam
Team lunch this Friday,ham
Special promotion just for you,spam
Congratulations you are our lucky winner,spam
Your appointment confirmation,ham
Your appointment confirmation,ham
Limited time offer buy now,spam
Notes from today's meeting,ham
Unlock your special discount today,spam
Winner claim your cash prize,spam
You have been selected for a reward,spam
Get rich quick with this simple trick,spam
Urgent your account has been selected for a prize,spam
Secret investment opportunity revealed,spam
Earn money from home instantly,spam
Winner claim your cash prize,spam
Win a free iPhone now,spam
Claim your free gift card today,spam
Exclusive deal just for you,spam
Final notice claim your bonus today,spam
Secret investment opportunity revealed,spam
You have been selected for a reward,spam
Team standup summary,ham
Reminder about tomorrow's workshop,ham
Act now to claim your reward,spam
Follow up on our discussion,ham
Urgent your account has been selected for a prize,spam
Office maintenance notice,ham
Congratulations you are our lucky winner,spam
Cheap meds available now,spam
Travel itinerary for your trip,ham
Follow up on our discussion,ham
Budget review meeting,ham
Budget review meeting,ham
Budget review meeting,ham
Free trial available today,spam
Reminder submit your report,ham
Training session details,ham
Free trial available today,spam
Travel itinerary for your trip,ham
Earn money from home instantly,spam
Reminder submit your report,ham
Free vacation offer click now,spam
Training session details,ham
Special promotion just for you,spam
Training session details,ham
Updated project timeline,ham
Congratulations you have won a lottery,spam
Cheap meds available now,spam
Meeting scheduled for tomorrow,ham
Office maintenance notice,ham
Monthly performance report,ham
Reminder submit your report,ham
Final notice claim your bonus today,spam
Free vacation offer click now,spam
Request for information,ham
Follow up on our discussion,ham
Earn money from home instantly,spam
Congratulations you are our lucky winner,spam
Request for information,ham
Congratulations you have won a lottery,spam
Meeting scheduled for tomorrow,ham
Request for information,ham
Cheap meds available now,spam
Office maintenance notice,ham
Meeting scheduled for tomorrow,ham
